"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4W2KV24X","presentation","2007","Grasland, Claude","Global City revisited by Tobler's first law of géography","","","","","","This paper propose to examine if Waldo Tobler’s first law of geography “ everything is related to everything else, but near things are more related than distant things” (Tobler, 1970) is still valid in a global world where many authors consider that distance in general and physical distance in particular are less and less important for the understanding of economic, political and social dynamics. Focusing on a “space of flows” rather than a “space of places” as it is proposed by many authors in their research on Global City does not mean that physical distance has to be  excluded from spatial interaction models, on the contrary.  We propose to explore a variant  of Tobler’s classical model of spatial interaction  - .(Fij.Dij) = Ai + Bj -  in order to demonstrate that the “movement” (product of flows by physical distance) is a much more interesting factor for the description of interaction between cities than the classical amount of flows. The advantage of this new formulation are both conceptual, methodological and empirical as it is demonstrated by an application to the air flows between world cities in 2000.  A new organization of the network of world cities according to air flows is elaborated which is more complex and less hierarchical than the one proposed in previous works. The paradox of the demonstration is that the introduction of distance support much more the assumption of a multipolarised and interlinked world than  usual works based on the location of global firms or the analysis of flows  non weighted by distance.","2007","2020-06-05 12:01:27","2020-06-05 12:04:47","","","","","","","","","","","","","","Montreux 'Suisse)","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15TH European Colloquium on Theoretical and Quantitative Geography","","","","","","","","","","","","","","","",""
"GN3WUQW8","bookSection","2009","Grasland, Claude","Spatial analysis of social facts. A tentative theoretical framework  derived from Tobler’s first law of geography  and Blau’s multilevel structural theory of society","Handbook of Quantitative Geography","978-2-940368-08-2","","","https://halshs.archives-ouvertes.fr/halshs-00410669|https://serval.unil.ch/resource/serval:BIB_05FBCD424B3F.P001/REF.pdf","This document presents an attempt to build a theoretical framework for the spatial analysis of social facts, derived from Tobler's first law of geography (‘Everything is related to everything else, but near things are more related than distant things') and Blau's theory of macro sociology and multilevel structural analysis. At individual level four basic times of position and interaction are defined (geographical/sociological and discrete/continuous). It is then necessary to discuss the effects of scale aggregation and time dynamics on the elementary levels of position and interaction. This part is illustrated by examples about airflows between world cities in 2000 and euro coins diffusion across borders between 2002 and 2007.","2009","2020-06-05 11:53:21","2022-09-21 15:18:55","","117-174","","","","","","","UNIL • FGSE Workshop","series N° 2","","","FGSE, University of Lausanne","Lausanne, Switzerland","en","","","","","","","","","","","TTT-HAL","","Bavaud, François; Mager, Christophe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5BH237Z3","bookSection","2020","DeMers, M. N.","GIS or Geographic Information Systems","Encyclopaedia Britannica, Computer System,","","","","https://www.britannica.com/technology/GIS","","2020","2020-06-03 13:17:45","2020-06-03 13:24:29","","","","","","","","","GIS COMPUTER SYSTEM","","","","Encyclopaedia Britannica,","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BVK8Y5Q7","presentation","2012","UCSB","Kudos to Professor Emeritus Waldo Tobler","","","","","https://geog.ucsb.edu/kudos-to-professor-emeritus-waldo-tobler/","","2012","2020-06-03 13:11:20","2020-06-03 13:16:54","","","","","","","","","","","","","","Santa Barbara (Ca)","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BM3UI2L","presentation","2014","The Archaeological Institute of America (AIA)","Waldo Tobler","","","","","https://geog.ucsb.edu/waldo-tobler-receives-the-2014-pomerance-award-for-scientific-contributions-to-archaeology/","UCSB Emeritus Professor of Geography, Waldo Tobler, was given the 2014 AIA Pomerance Award for Scientific Contributions to Archaeology, an award made annually for the past 33 years. Eligibility is not restricted to members of the AIA, and candidates for the medal may be sought internationally with no geographical limitations. The recipient may be a professional or amateur scientist, or a team, whose interdisciplinary work with archaeologists merits recognition. Persons who have received the Gold Medal of the AIA are not excluded from eligibility.","2014","2020-06-03 13:07:31","2020-06-03 13:11:20","","","","","","","","","","","","","","Santa Barbara (Ca)","en","","Award","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pomerance Award for scientific Contributions to Archaeology","","","","","","","","","","","","","","","",""
"GXNQHAP5","journalArticle","2002","McMaster, R.; McMaster, S.","A History of Twentieth-Century American Academic Cartography","Cartography and Geographic Information Science","","","10/c23mzt","https://www.tandfonline.com/doi/abs/10.1559/152304002782008486","The academic discipline of cartography is a twentieth-century phenomenon. From its incipient roots in landscape representation in geology and the mapping of socio-economic data in geography, it grew into its own sub-discipline with graduate programs, research paradigms, and a scientific literature of its own. It came close to establishing a national center for cartography In the late 1960s. After rather sporadic activity before World War II, the period from 1946 to 1986 saw the building of major graduate programs at the universities of Wisconsin, Kansas, and Washington. Other programs were created, often with the doctoral students from those three. At the end of the twentieth century, cartography underwent significant changes in relation to the emerging discipline of geographic information science. The future for academic cartography is less certain, as graduate programs adjust the balances among the many components of mapping science, including cartography, geovisualization, GI science, GIS systems, spatial analysis/statistics, and remote sensing.","2002","2020-06-03 13:03:51","2021-02-12 20:50:08","","305-321","","3","29","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UU3DXC3A","journalArticle","2019","Monmonnier, M. S.","Waldo R. Tobler (1930–2018)","Imago Mundi","","","10/gh2tsw","https://doi.org/10.1080/03085694.2019.1529916","","2019","2020-06-03 12:59:19","2021-02-12 20:50:09","","87-88","","1","71","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5NKESYY","bookSection","","Hubbart, P.; Kitchin, Rob","Waldo Tobler","Key Thinkers on space and Place","","","","","","","2020-06-03 12:56:45","2020-06-03 12:58:44","","","","","","","","","","","","","Sage","London","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sage Publications, Inc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFASVWGF","journalArticle","2019","Frančulaand, N.; Lapain, M.","Waldo Tobler (1930-2018). In memoriam","KiG (Cartography and Geoinformation),Zagreb (Croatie)","","","","https://kig.kartografija.hr/index.php/kig/article/view/821/1516,","","2019","2020-06-03 12:53:55","2021-02-12 20:50:10","","","","29","17","","","","","","","","","","Croate En","","","","","","","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2NTJLAJ","bookSection","2008","Lan, M.","Analytical Cartography","Encyclopedia of geographic Information Science","","","","http://dx.doi.org/10.4135/9781412953962.n6","","2008","2020-06-03 12:50:29","2020-06-03 12:52:39","","9-10","","","","","","","","","","","Sage","London","en","","","","","","","","","","","","","Kemp, K.K.","","","","","","","","","","","","","","","","","","","Sage Publications, Inc","","","","","","","","","","","","","","","","","","","","","","","","","",""
