"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FIFFGWBZ","book","1979","Tobler, W. R.","Cartograms and cartosplines","","","","","","","1979","2020-05-25 09:08:15","2020-06-17 13:31:18","","","pages 53-58","","Proceedings","","","","","","","","U. S. Department of Health, Education, and Welfare, Public Health Service, Office of Research, Statistics, and Technology, National Center for Health Statistics","","en","","","","","Google Books","CC326","","","","https://books.google.fr/books?id=f-WkHwO298MC","CC-Lissage, interpolation; LocCC-ABS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3NLNNJX","report","1975","Tobler, Waldo R.","Analysis of Three Interaction Matrices","","","","","http://pure.iiasa.ac.at/id/eprint/319/","The first matrix represents the cross-citations between nineteen business and economic journals. The second matrix consists of intersectoral job changes in Belgium. The third matrix indicates the amount of interaction between retail establishments, as indicated by customer movements from one establishment to another.","1975-08","2020-05-11 12:16:18","2020-06-17 13:29:05","2020-05-11 10:55:08","12","","","","","","","","","","Human Settlements and Services Area (HSS)","IIASA International Institute for Applied Systems Analysis","Laxenburg, AT","en","","Monograph (IIASA Research Report)","","","","CC325","","","","","LocCC-ABS; CC-Modelisation mathématique","","","","","","","","","","","","","","","","","","","","WP-75-109","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WGNTCS3I","manuscript","1976","Tobler, W. R.","Cartograms and cartosplines.","","","","","","","1976","2020-05-22 12:06:49","2020-06-17 13:24:08","","","7","","","","","","","","","","","Washington DC, US","en","","Notes prepared for the Workshop on automated Cartography and Epidemiology","","","","CC282","","","","","CC-Lissage, interpolation; LocCC-CDMP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WTLU2W8M","bookSection","1993","Tobler, Waldo","Movement Takes Time: A Note on the Time of Movement","Structure and Change in the Space Economy: Festschrift in Honor of Martin J. Beckmann","978-3-642-78094-3","","","https://doi.org/10.1007/978-3-642-78094-3_5","Continuous transportation modelling was introduced by Martin Beckmann in 1952, and continues in some of his recent books with Tonu Puu. My own recent work has also dealt with this topic and with spatial interaction models in both continuous and discrete form, especially as related to migration. The general class of models here includes the PP/D gravity model as used by Zipf, Stewart, Warntz, Isard, and others: the entropy model introduced by Alan Wilson; the Hitchcock-Koopmans-Kantorovitch linear transportation problem, the quadratic transportation problem, and the spatial price equilibrium model described by Samuelson and later workers. In all of these problems I have constantly encountered two difficulties.","1993","2020-05-13 20:04:09","2020-06-15 13:02:01","2020-05-13 20:04:09","61-65","","","","","","Movement Takes Time","","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","CC128","","","","","CC-Mouvements; LocCC-CDMV; LocCC-RRWT","Discrete Choice Analysis; Employee Number; Spatial Interaction Model; Transportation Problem; Urban Traffic","Lakshmanan, T. R.; Nijkamp, Peter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAQ4EUHT","bookSection","1967","Tobler, Waldo R.","Introduction to R. Kao, ""Geometric Projections in System Studies""","Quantitative Geography. Part II: Physical and Cartographic Topics","","","","","","1967","2020-04-29 20:06:12","2020-06-15 12:02:51","","243-243","","","","","","","Studies in Geography","14","","","Evanston: Northwestern University Press","","en","","","","","","CC39","","","","","LocCC-ABS; CC-Modelisation mathématique","","Garrison, William; Marble, Duane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UHLXWGC5","journalArticle","1972","Moellering, Harold; Tobler, Waldo R.","Geographical Variances","Geographical Analysis","","1538-4632","10/bs4zw8","https://www.onlinelibrary.wiley.com/doi/abs/10.1111/j.1538-4632.1972.tb00455.x","","1972","2020-04-30 08:05:39","2021-02-09 13:41:05","2020-04-30 08:05:39","34-50","","1","4","","","","","","","","","","en","1972 The Ohio State University","","","","Wiley Online Library","CC55","","","","","CC-Filtrage; LocCC-CDSA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KD8WPPPH","journalArticle","1971","Barton, B.; Tobler, Waldo R.","A Spectral Analysis of Innovation Diffusion","Geographical Analysis","","1538-4632","10/djvz6f","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1538-4632.1971.tb00361.x","","1971","2020-04-30 08:49:51","2021-02-09 13:41:05","2020-04-30 08:49:51","182-186","","2","3","","","","","","","","","","en","1971 The Ohio State University","","","","Wiley Online Library","CC52","","","","","LocCC-RRWT; CC-Filtrage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QPF28TBZ","bookSection","2011","Tobler, Waldo R.","Automation and Cartography","The Map Reader: Theories of Mapping Practice and Cartographic Representation","978-0-470-97958-7 978-0-470-74283-9","","","https://onlinelibrary.wiley.com/doi/abs/10.1002/9780470979587.ch19","","2011-04-21","2020-04-14 08:44:14","2020-06-15 12:01:38","2020-04-29 19:33:12","137-140","","","","","","The Map Reader","","","","","John Wiley & Sons, Ltd","Chichester, UK","en","","","","","","CC321","","","","","LocCC-ABS; CC-Réflexion-informatique","","Dodge, Martin; Kitchin, Rob; Perkins, Chris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MI8E3KH","manuscript","1982","Gale, N.; Hubert, Lawrence J.; Tobler, W. R.","A comparison of migration models","","","","","","","1982","2020-05-22 13:26:15","2020-06-15 12:00:55","","","17 + figures","","","","","","","","","","","Santa Barbara Ca","en","","PrePrint","","","","CC294","","","","","CC-Lissage, interpolation; LocCC-LBIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92JS8S9C","journalArticle","1978","Tobler, Waldo R.; Lau, J.","Isopleth Mapping Using Histosplines","Geographical Analysis","","1538-4632","10/d3trxs","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1538-4632.1978.tb00656.x","","1978","2020-04-30 08:54:38","2021-02-09 13:41:05","2020-04-30 08:54:38","273-279","","3","10","","","","","","","","","","en","1978 The Ohio State University","","","","Wiley Online Library","CC76","","","","","CC-Lissage, interpolation; LocCC-CDSC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
